image_filename,total_spikes,active_neurons,mean_firing_rate,firing_rate_variance,temporal_burstiness,synchrony,response_latency,early_response_strength,late_response_strength,persistent_activity,trial_variance,entropy,left_right_balance,recurrent_fraction,burst_phase,population_0,population_1,population_2,population_3,population_4,population_5,population_6,normalized_total_spikes,normalized_active_neurons,normalized_mean_firing_rate,normalized_firing_rate_variance,normalized_temporal_burstiness,normalized_synchrony,normalized_response_latency,normalized_early_response_strength,normalized_late_response_strength,normalized_persistent_activity,normalized_trial_variance,normalized_entropy,normalized_left_right_balance,normalized_recurrent_fraction,normalized_burst_phase,normalized_population_0,normalized_population_1,normalized_population_2,normalized_population_3,normalized_population_4,normalized_population_5,normalized_population_6
"ChatGPT Image Sep 17, 2026 at 08_45_19 PM.png",4042276,10874,3.644605774709858,311.94344804440755,0.17340266539524846,1215.4511270977046,0.0,445130.5,504189.0,0.9533078229525479,0.0003259852744867092,0.750804953147869,-0.14985543287741007,0.9113420261258757,0.5252525252525253,522213,500123,519503,537223,521354,566027,517453,1.0,1.0,1.0,0.9002972676245806,0.1025229467956087,0.10647098268326408,0.5,0.9566001313068956,1.0,0.0,0.054689224188657716,1.0,0.0,0.0,0.3777777777777779,0.8925889650669279,0.9475756319933692,0.8526309059523048,0.9011564054525486,0.9544298970382611,0.9450980392156862,0.8634901074827138
"ChatGPT Image Sep 17, 2026 at 08_45_33 PM (2).png",3901105,10588,3.5173228673028514,295.14606171491295,0.20376146749143692,1619.6894717650512,0.0,396319.5,499702.5,0.9873903248780368,0.0011899017261750389,0.7496203208018878,0.017938276175411435,0.9194551287391649,0.35353535353535354,508543,486404,506167,523274,506337,551326,504840,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ChatGPT Image Sep 17, 2026 at 08_45_33 PM (3).png",4042149,10600,3.6444912686906283,313.80366174719364,0.16993463928697858,1167.282961362879,0.0,447345.0,503339.0,0.9544098118764714,0.0003376486011403649,0.7501423345582343,-0.0710018550165783,0.9137961020239481,0.8080808080808081,523858,500882,521808,538753,522071,566881,519447,0.9991003818064617,0.04195804195804196,0.9991003818064634,1.0,0.0,0.0,0.5,1.0,0.8105427393290984,0.03233298207780383,0.06745141704418395,0.440654653840433,0.4699435891008801,0.30248303454866715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"ChatGPT Image Sep 17, 2026 at 08_45_34 PM (4).png",4031557,10617,3.634941286362423,312.1191945785246,0.17101846796721829,1179.1222310660626,0.0,446953.5,502319.0,0.9560871891430532,0.00027600496989735166,0.7502120280559947,-0.046703885089309935,0.9135716052135688,0.36363636363636365,522231,499001,520035,537086,520359,565863,518541,0.9240708077438001,0.10139860139860139,0.924070807743799,0.9097168357262128,0.03204050565098088,0.026169538746599726,0.5,0.9923273657289002,0.5831940265240165,0.08154818553466481,0.0,0.49948598492543733,0.614752176171444,0.27481213956805184,0.022222222222222244,0.893764283382305,0.8700787401574803,0.8866440764656991,0.8923057045028748,0.891191051226643,0.9345548055287689,0.93797494352023
